xx,yy,herb,properties,rgb
-4.61407423,-1.565720201,莲子,"四气五味：甘,涩,平；归经：脾,肾,心","rgb(171.61949481080453,119.79932677784976,52.65398624614352)"
-2.168384314,1.319137931,砂仁,"四气五味：辛,温；归经：脾,胃,肾","rgb(156.74444824692202,183.1428396702472,182.4828966583428)"
-1.60704124,-0.711083055,荆芥炭,"四气五味：辛,涩,微温；归经：肺,肝","rgb(144.00382984823503,142.90720446052129,145.98860824603642)"
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾","rgb(93.8308585161754,71.53328103932425,71.18568790990406)"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心","rgb(71.61967843065563,64.37353608157852,71.84772912023135)"
-3.057582855,-3.728332996,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心","rgb(79.69623974084072,64.91209966977675,69.93425762283009)"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃","rgb(155.95541763317712,173.3750197764231,173.5469755755031)"
-2.4959867,-3.973608017,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾","rgb(24.266001855180097,66.90803848299541,84.2145262435701)"
-2.003940582,0.899944186,补骨脂,"四气五味：辛,苦,温；归经：肾,脾","rgb(153.46303986318708,176.27147652489526,176.9728475948848)"
-3.425074339,-0.160854667,龙眼肉,"四气五味：甘,温；归经：心,脾","rgb(197.16706703708888,134.5429648211458,125.5891611103626)"
-3.735731125,-3.632935047,酸枣仁,"四气五味：甘,酸,平；归经：肝,胆,心","rgb(110.87217812935478,80.07037500529492,65.84307273578726)"
-2.563746929,1.226793647,木香,"四气五味：辛,苦,温；归经：脾,胃,大肠,三焦,胆","rgb(159.62416361677967,180.4706192540499,178.86161417334353)"
-2.309523344,0.324441075,远志,"四气五味：苦,辛,温；归经：心,肾,肺","rgb(157.71256951652302,162.65071382398045,163.97785236803617)"
-1.73198545,-1.045446277,川芎,"四气五味：辛,温；归经：肝,胆,心包","rgb(142.17194166974554,133.20039755496063,135.83841839575527)"
